team_blue,team_red
Natus Vincere,GIANTX
Team Vitality,Movistar KOI
Team BDS,Team Heretics
SK Gaming,G2 Esports
G2 Esports,Team BDS
Karmine Corp,Team Vitality
Fnatic,G2 Esports
Team Vitality,Natus Vincere
Team Heretics,SK Gaming
Movistar KOI,Natus Vincere
Karmine Corp,Movistar KOI
Fnatic,Team BDS
Movistar KOI,GIANTX
G2 Esports,Team Heretics
GIANTX,Team Vitality
SK Gaming,Fnatic
GIANTX,Karmine Corp
Team BDS,SK Gaming
Team Heretics,Fnatic
Natus Vincere,Karmine Corp
Natus Vincere,GIANTX
Movistar KOI,Team Vitality
Team Heretics,Team BDS
Team Heretics,Team BDS
G2 Esports,SK Gaming
G2 Esports,Team BDS
Karmine Corp,Team Vitality
Karmine Corp,Team Vitality
Fnatic,G2 Esports
Natus Vincere,Team Vitality
Team Heretics,SK Gaming
SK Gaming,Team Heretics
Natus Vincere,Movistar KOI
Movistar KOI,Karmine Corp
Karmine Corp,Movistar KOI
Fnatic,Team BDS
Movistar KOI,GIANTX
GIANTX,Movistar KOI
G2 Esports,Team Heretics
Team Vitality,GIANTX
SK Gaming,Fnatic
GIANTX,Karmine Corp
Karmine Corp,GIANTX
SK Gaming,Team BDS
Team Heretics,Fnatic
Fnatic,Team Heretics
Karmine Corp,Natus Vincere
