team,games_played,winrate_lastN,avg_gold_diff_lastN,avg_gold_diff_at14_lastN,avg_game_time_lastN
Astralis,42,0.3,-4570.0,143.5,1806.8
Fnatic,176,0.5,-350.0,-381.5,2025.8
G2 Esports,184,0.6,1540.0,435.6,1897.0
GIANTX,116,0.3,-3920.0,-589.4,2007.1
Karmine Corp,64,0.7,3270.0,179.3,2018.1
Movistar KOI,229,0.5,2140.0,899.2,1929.2
Natus Vincere,38,0.1,-8690.0,-476.0,2181.6
SK Gaming,113,0.1,-10010.0,-972.3,1765.0
Team BDS,162,0.4,-2010.0,-81.8,2248.0
Team Heretics,103,0.2,-8670.0,-1378.3,1929.8
Team Vitality,105,0.5,730.0,-552.7,2159.5
