team,games_played,winrate,avg_gold_diff,avg_gold_diff_at14,avg_game_time,median_game_time
Astralis,42,0.40476190476190477,-2857.1428571428573,-217.1904761904762,1822.9761904761904,1802.5
Fnatic,176,0.5625,1556.8181818181818,109.68571428571428,1921.9943181818182,1867.0
G2 Esports,184,0.7336956521739131,5285.326086956522,910.0815217391304,1869.8641304347825,1835.5
GIANTX,116,0.3620689655172414,-3010.344827586207,-877.6034482758621,1955.9310344827586,1902.0
Karmine Corp,64,0.484375,-731.25,-326.84375,1982.953125,1937.0
Movistar KOI,229,0.4759825327510917,-489.95633187772927,323.7973568281938,1900.886462882096,1836.0
Natus Vincere,38,0.21052631578947367,-6313.1578947368425,-409.3421052631579,2041.8684210526317,1955.0
SK Gaming,113,0.4336283185840708,-1866.3716814159293,-272.283185840708,1908.6725663716813,1880.0
Team BDS,162,0.5432098765432098,490.74074074074076,-236.08641975308643,2004.8271604938273,1966.0
Team Heretics,103,0.39805825242718446,-2204.854368932039,-623.6116504854369,1956.2330097087379,1917.0
Team Vitality,105,0.44761904761904764,-189.52380952380952,197.02884615384616,1954.2095238095237,1892.0
